namefile,data,time
camfire_2018-03-07-1201.jpg,2018-03-07,12:01
camfire_2018-03-07-1231.jpg,2018-03-07,12:31
camfire_2018-03-07-1301.jpg,2018-03-07,13:01
camfire_2018-03-07-1331.jpg,2018-03-07,13:31
camfire_2018-03-07-1401.jpg,2018-03-07,14:01
camfire_2018-03-07-1431.jpg,2018-03-07,14:31
camfire_2018-03-07-1501.jpg,2018-03-07,15:01
camfire_2018-03-07-1531.jpg,2018-03-07,15:31
camfire_2018-03-07-1601.jpg,2018-03-07,16:01
camfire_2018-03-07-1631.jpg,2018-03-07,16:31
camfire_2018-03-08-0901.jpg,2018-03-08,09:01
camfire_2018-03-08-0931.jpg,2018-03-08,09:31
camfire_2018-03-08-1001.jpg,2018-03-08,10:01
camfire_2018-03-08-1031.jpg,2018-03-08,10:31
camfire_2018-03-08-1101.jpg,2018-03-08,11:01
camfire_2018-03-08-1131.jpg,2018-03-08,11:31
camfire_2018-03-08-1201.jpg,2018-03-08,12:01
camfire_2018-03-08-1231.jpg,2018-03-08,12:31
camfire_2018-03-08-1301.jpg,2018-03-08,13:01
camfire_2018-03-08-1331.jpg,2018-03-08,13:31
camfire_2018-03-08-1401.jpg,2018-03-08,14:01
camfire_2018-03-08-1431.jpg,2018-03-08,14:31
camfire_2018-03-08-1501.jpg,2018-03-08,15:01
camfire_2018-03-08-1531.jpg,2018-03-08,15:31
camfire_2018-03-08-1601.jpg,2018-03-08,16:01
camfire_2018-03-08-1631.jpg,2018-03-08,16:31
camfire_2018-03-09-0901.jpg,2018-03-09,09:01
camfire_2018-03-09-0931.jpg,2018-03-09,09:31
camfire_2018-03-09-1001.jpg,2018-03-09,10:01
camfire_2018-03-09-1031.jpg,2018-03-09,10:31
camfire_2018-03-09-1101.jpg,2018-03-09,11:01
camfire_2018-03-09-1131.jpg,2018-03-09,11:31
camfire_2018-03-09-1201.jpg,2018-03-09,12:01
camfire_2018-03-09-1231.jpg,2018-03-09,12:31
camfire_2018-03-09-1301.jpg,2018-03-09,13:01
camfire_2018-03-09-1331.jpg,2018-03-09,13:31
camfire_2018-03-09-1401.jpg,2018-03-09,14:01
camfire_2018-03-09-1431.jpg,2018-03-09,14:31
camfire_2018-03-09-1501.jpg,2018-03-09,15:01
camfire_2018-03-09-1531.jpg,2018-03-09,15:31
camfire_2018-03-09-1601.jpg,2018-03-09,16:01
camfire_2018-03-09-1631.jpg,2018-03-09,16:31
